Title,Longitude,Latitude
100048673,-73.962668,40.775953
100046778,-73.993973,40.745248
100044783,-73.42819,43.32315
100046981,-77.01983,38.91176
100044909,-77.0092,38.92029
100043429,-73.9734237,40.6919139
100046752,-73.9734237,40.6919139
100047348,-77.024966,38.921232
100043620,-76.99645,38.89551
100044878,-77.005739,38.879291
100050993,-73.6001,41.4054
100043447,-77.00175,38.88986
100047768,-73.42819,43.32315
100048703,-77.08201,38.90698
100050670,-72.22252285,40.98880045
100051032,-73.9734237,40.6919139
100048384,-73.66249605,40.6018752
100047702,-77.03703,38.91951
100047947,-77.03025,38.91673
100051102,-77.0443,38.91592
100050175,-77.03482,38.92279
100045040,-73.66249605,40.6018752
100042738,-73.42819,43.32315
100043890,-77.033443,38.917218
100046507,-77.02964,38.93145
100044854,-77.03652,38.93681
100044700,-73.9734237,40.6919139
100043001,-77.00933,38.95939
100045450,-73.66249605,40.6018752
100043318,-76.962278,38.925324
100045343,-76.97813,38.86709
100047273,-77.040609,38.909424
100047622,-73.7568408,42.6557027
100047983,-77.357206,38.930715
100047601,-76.784598,38.961888
100043406,-76.818819,39.095901
100047309,-76.91969,38.81398
100043997,-76.953517,38.968161
100046169,-77.270171,39.189082
100046140,-77.0166,39.00324
100047349,-77.1694,38.94249
100046635,-73.6670007,40.6779342
100047814,-77.11117,38.88039
100043404,-73.719523,40.675784
100049226,-77.11172,38.85498
100042722,-73.96,42.77
100023231,-73.981865,40.73798
100044577,-80.285086,36.147484
100042688,-84.55,33.77
100028427,-73.475882,40.709584
100049785,-83.713831,32.923311
100049958,-81.191065,28.889678
100022046,-80.515572,27.879679
100050833,-73.96984,40.75303
100025329,-78.8633619,42.8706843
100021371,-73.71372905,40.7745189
100011724,-80.298771,26.143553
100041119,-73.96606,40.75764
100022100,-0.925261,54.265659
100050293,-0.776625,53.930414
100024943,-75.3138,43.0006
100014411,-73.87,40.73
100013725,-73.853521,40.681797
100006705,-73.846564,40.735969
100027535,-73.95268,40.76684
100021856,-121.451349,38.566353
100021337,-73.693125,40.844266
100025098,-73.693125,40.844266
100011943,-73.72405,40.622238
100004276,-73.509179,45.369371
100041608,-73.828565,43.057308
100047152,100.523032,13.887924
100043924,-73.4251,40.6976
100025891,-73.98,40.7
100011651,35.48333,33.36667
100043413,-74.008972,40.733013
100023383,-73.98284,40.7231
100019125,-72.4663288,40.8460744
100004818,-73.8257592,42.594154
100000940,-73.8257592,42.594154
100006602,-73.8257592,42.594154
100015621,-73.8257592,42.594154
100008757,-73.8257592,42.594154
100003079,-73.8257592,42.594154
100007583,-73.8257592,42.594154
100047163,-73.8257592,42.594154
100001083,-73.8257592,42.594154
100015810,-73.8257592,42.594154
100015971,-73.950829,40.777967
100004431,-73.8257592,42.594154
100012721,-73.8257592,42.594154
100020643,-73.9866,40.7306
100000619,-73.8257592,42.594154
100011906,-73.8257592,42.594154
100008395,-73.8257592,42.594154
100003805,-73.8257592,42.594154
100011532,-73.8257592,42.594154
100003994,-73.8257592,42.594154
100006978,-73.8257592,42.594154
100009562,-73.8257592,42.594154
100016564,-73.967702,40.764303
100001774,-73.8257592,42.594154
100017673,-73.8257592,42.594154
100011288,-73.8257592,42.594154
100005676,-73.8257592,42.594154
100012607,-73.8257592,42.594154
100017841,-73.8257592,42.594154
100014610,-73.8257592,42.594154
100048846,-73.959546,40.800896
100038257,-78.626432,42.781214
100038256,-77.4242,42.8991
100040180,-73.98266081,40.76872225
100022639,-73.960071,40.769522
100022949,-73.991212,40.740821
100038477,-73.994202,40.695335
100028467,-73.951996,40.807816
100022486,-73.957599,40.683313
100034088,-73.9866,40.7306
100023336,-73.99291,40.743818
100023533,-73.975443,40.748592
100032737,-73.858163,40.808949
100022924,-73.986097,40.744824
100023712,116.7747426,-31.8854456
100020081,-73.6921456,40.5864809
100024715,-73.95391,40.733672
100025793,-73.978642,40.740313
100023904,-73.989022,40.74066
100023095,-73.998656,40.746415
100024208,-73.956602,40.805641
100029087,-73.425664,44.744421
100020223,-74.005296,40.728361
100023275,-74.175947,40.525683
100022792,-73.835709,40.718142
100020607,-73.636808,40.737335
100028115,-73.950558,40.671358
100028372,-73.822631,40.866182
100034167,-73.974289,40.788151
100022562,-73.94596,40.680928
100023036,-73.801129,40.7054
100033614,-73.990456,40.684133
100038084,-73.998806,40.763549
100028422,-73.981878,40.748989
100023586,-73.316872,40.683055
100021633,-73.944498,40.70852
100025695,-73.973883,40.649049
100022977,-73.943464,40.801502
100025588,-73.958726,40.577491
100021789,-73.978976,40.712946
100024252,-73.957379,40.745879
100037296,-74.005248,40.721025
100023941,-73.980966,40.701269
100032546,-73.9866,40.7306
100030566,-73.9866,40.7306
100030602,-73.998491,40.749648
100023607,-73.97844,40.746556
100023779,-74.00588,40.70747
100036387,-73.9155089,40.5613507
100021358,-73.991432,40.745222
100033945,-74.0012,40.74785
100023714,-78.897303,42.950703
100023437,-73.9424675,40.8108182
100020754,-72.611405,40.948111
100023599,99.33167,9.13333
100023802,-73.999124,40.744951
100022836,-73.990607,40.678291
100028373,-73.676051,40.73117
100027823,-73.78574,40.76476
100032279,-74.003124,40.72395
100026743,-84.361651,33.760503
100038096,-73.99146,40.74472
100026021,-74.000761,40.729423
100022221,-74.97069,44.610707
100022188,-73.978094,40.683316
100024699,-73.928537,40.774257
100017782,-73.999487,40.680365
100022743,-73.4545,44.6675
100025814,-73.956708,40.769829
100027198,-73.878043,40.869733
100036562,-73.993057,40.754398
100035543,-74.059664,40.60532
100037338,-73.636808,40.737335
100037026,-73.99441,40.742374
100022849,-73.971426,40.690192
100032989,-73.98091,40.786972
100028581,-73.938934,40.804361
100022925,-73.985668,40.748472
100032810,-73.947516,40.780131
100023194,-74.059764,40.605454
100035886,-73.9532147,40.6040535
100036696,-73.954664,40.664639
100016996,-73.979745,40.725416
100037708,-73.9146736,40.7868353
100032710,-73.636808,40.737335
100030430,-73.991746,40.740599
100021807,-73.8661,40.9032
100033741,-73.99,40.77
100029575,-73.636808,40.737335
100021842,-73.636808,40.737335
100026040,-74.014276,40.642239
100036011,-73.98152,40.73103
100022152,-74.000628,40.738246
100022372,-73.935619,40.856734
100027720,-73.999794,40.749565
100020871,-73.989962,40.747116
100020892,-73.989962,40.747116
100029238,-73.636808,40.737335
100033454,-73.960696,40.817088
100021082,-73.929009,40.753439
100021771,-77.638267,37.501901
100022187,-74.001663,40.716327
100016490,-73.902943,40.820751
100035197,-73.980506,40.743609
100018544,-73.983757,40.683943
100028753,-73.993057,40.754398
100033411,-73.98266081,40.76872225
100033412,-74.129217,40.621695
100033546,-73.941872,40.844583
100025918,-73.970567,40.750658
100017889,-74.000667,40.729091
100034503,-73.781172,40.700533
100021592,-73.952427,40.724452
100033297,-73.982273,40.585666
100031486,-74.0118585,40.702166
100022621,-73.99482,40.74586
